 ,pH,BOD5,SS,VSS,TS,VTS,TKN,NH3-N,NO2-N + NO3-N,P-TOT,P-SOL,Flow,,,,,,,,,,
23-May-16,7.4,      T/X,280,228,1128,442,30,13.9,     <0.15,6.12,3.13,227,,,,,,,,,,
24-May-16,7.3,      T/X,268,216,1075,394,29,15.4,     <0.15,6.38,3.14,170,,,,,,,,,,
25-May-16,7.4,142,264,218,1058,382,26,13.8,     <0.15,5.97,2.98,250,,,,,,,,,,
26-May-16,7.4,102,240,160,942,298,20,9.1,     <0.15,5.35,2.48,308,,,,,,,,,,
27-May-16,7.5,125,164,118,874,264,18,10.9,     <0.15,4.22,2.56,321,,,,,,,,,,
28-May-16,7.4,140,158,118,768,270,15,7.8,     <0.15,2.97,1.30,311,,,,,,,,,,
29-May-16,7.6,173,212,160,886,316,21,9.9,     <0.15,3.85,1.31,275,,,,,,,,,,
30-May-16,7.5,81,110,108,818,230,19,11.9,     <0.15,3.17,1.60,236,,,,,,,,,,
31-May-16,7.5,129,254,188,928,326,31,16.5,     <0.15,5.87,2.25,256,,,,,,,,,,
1-Jun-16,7.6,      T/X,204,132,702,224,19,8.5,0.55,4.29,1.60,297,,,,,,,,,,
2-Jun-16,7.2,350,262,216,1000,360,20,10.9,0.19,3.86,1.90,202,,,,,,,,,,
3-Jun-16,7.5,150,126,98,882,204,21,12.0,0.21,4.78,2.81,184,,,,,,,,,,
4-Jun-16,7.5,117,152,106,804,204,20,10.4,     <0.15,3.85,1.69,223,,,,,,,,,,
5-Jun-16,7.5,      T/X,210,174,844,268,20,10.4,0.25,4.18,1.91,221,,,,,,,,,,
6-Jun-16,7.5,124,212,168,898,324,22,11.6,0.44,4.47,2.44,185,,,,,,,,,,
7-Jun-16,7.4,91,112,100,880,230,19,10.9,0.71,4.87,3.48,152,,,,,,,,,,
8-Jun-16,7.4,      T/X,118,96,836,232,24,14.4,     <0.15,5.30,3.29,177,,,,,,,,,,
9-Jun-16,7.3,140,158,130,872,294,25,14.4,     <0.15,5.98,3.62,171,,,,,,,,,,
